Original_Filename,Matching_Filename_OR_SC,Alternate_Method,Method_Argument,Similarity_to_Fort
airport\air_in1a.bmp, air_in1a.png, , ,99.0234375
airport\air_in1b.bmp, air_in1a.png, , ,99.0234375
airport\air_in1c.bmp, air_in1a.png, , ,99.0234375
airport\air_in1d.bmp, air_in1a.png, , ,99.0234375
airport\air_in1e.bmp, air_in1a.png, , ,99.0234375
airport\air_in1ec.bmp, air_in1ec.png, , ,100
airport\air_in2a.bmp, air_in1e.png, , ,100
airport\air_in2b.bmp, air_in1ec.png, , ,100
airport\air_out1a.bmp, air_out1a.png, , ,100
airport\air_out2a.bmp, air_out2a.png, , ,99.8046875
airport\air_out2b.bmp, air_out2b.png, , ,99.609375
airport\air_out2br.bmp, Special Case, make_greyscale,air_out2b.png,0
airport\air_t1a.bmp, air_t1a.png, , ,99.8046875
airport\air_t2a.bmp, air_t1a.png, , ,99.8046875
airport\airp_in1a.bmp, airp_in1a.png, , ,99.8046875
airport\airp_in1b.bmp, airp_in1a.png, , ,99.8046875
airport\airp_out1a.bmp, airp_out1a.png, , ,99.8046875
airport\airp_out2a.bmp, airp_out2a.png, , ,99.8046875
airport\airp_out2b.bmp, airp_out2b.png, , ,100
airport\airp_w1a.bmp, airp_w1a.png, , ,99.8046875
airport\airp_w1b.bmp, airp_w1b.png, , ,99.8046875
airport\airp_w1c.bmp, airp_w1bc.png, , ,99.8046875
airport\airp_w1d.bmp, airp_w1c.png, , ,100
airport\airp_w1e.bmp, airp_w1cc.png, , ,100
airport\airp_w1f.bmp, airp_w1d.png, , ,100
airport\airp_w1g.bmp, airp_w1d.png, , ,100
airport\airp_w1h.bmp, airp_w1j.png, , ,99.8046875
airport\airp_w1i.bmp, airp_w1j.png, , ,99.8046875
airport\airp_w1j.bmp, airp_w1k.png, , ,99.8046875
airport\airp_w1k.bmp, airp_w1k.png, , ,99.8046875
airport\car_i1a.bmp, car_i1a.png, , ,99.609375
airport\car_i3a.bmp, car_i1ac.png, , ,99.8046875
airport\car_i3b.bmp, car_i3b.png, , ,100
